,clog,sp1,sp2,sv,dp1,dp1a,dp1_10,dp1_10a,dp1_50,dp1_50a,dp2,dp2a,dp2_10,dp2_10a,dp2_50,dp2_50a,dp1p2
60,0,9340,9336,10000,1,1,0,0,1,1,0,0,1,1,-1,1,-4
61,0,9342,9335,10000,2,2,3,3,1,1,-1,1,0,0,0,0,-7
62,0,9340,9338,10000,-2,2,-1,1,-1,1,3,3,3,3,3,3,-2
63,0,9340,9338,10000,0,0,-1,1,-1,1,0,0,4,4,3,3,-2
64,0,9341,9337,10000,1,1,2,2,0,0,-1,1,2,2,2,2,-4
65,0,9341,9336,10000,0,0,3,3,0,0,-1,1,2,2,0,0,-5
66,0,9342,9335,10000,1,1,4,4,1,1,-1,1,1,1,-2,2,-7
67,0,9340,9337,10000,-2,2,-1,1,0,0,2,2,1,1,2,2,-3
68,0,9340,9336,10000,0,0,1,1,-1,1,-1,1,0,0,-1,1,-4
69,0,9340,9336,10000,0,0,0,0,0,0,0,0,0,0,0,0,-4
70,0,9340,9336,10000,0,0,-2,2,0,0,0,0,1,1,0,0,-4
71,0,9340,9335,10000,0,0,0,0,0,0,-1,1,-3,3,0,0,-5
72,0,9340,9337,10000,0,0,0,0,0,0,2,2,-1,1,3,3,-3
73,0,9340,9335,10000,0,0,-1,1,-1,1,-2,2,-2,2,-2,2,-5
74,0,9341,9336,10000,1,1,0,0,0,0,1,1,0,0,0,0,-5
75,0,9341,9336,10000,0,0,-1,1,1,1,0,0,1,1,1,1,-5
76,0,9340,9336,10000,-1,1,0,0,0,0,0,0,-1,1,1,1,-4
77,0,9339,9337,10000,-1,1,-1,1,0,0,1,1,1,1,2,2,-2
78,0,9340,9338,10000,1,1,0,0,-1,1,1,1,2,2,2,2,-2
79,0,9341,9336,10000,1,1,1,1,0,0,-2,2,0,0,1,1,-5
80,0,9342,9337,10000,1,1,2,2,2,2,1,1,2,2,2,2,-5
81,0,9342,9337,10000,0,0,2,2,1,1,0,0,0,0,3,3,-5
82,0,9341,9335,10000,-1,1,1,1,0,0,-2,2,0,0,1,1,-6
83,0,9340,9335,10000,-1,1,-1,1,0,0,0,0,-1,1,0,0,-5
84,0,9340,9335,10000,0,0,-1,1,-1,1,0,0,-1,1,-1,1,-5
85,0,9340,9337,10000,0,0,0,0,1,1,2,2,1,1,0,0,-3
86,0,9342,9337,10000,2,2,3,3,3,3,0,0,0,0,1,1,-5
87,0,9342,9337,10000,0,0,2,2,0,0,0,0,-1,1,3,3,-5
88,0,9341,9337,10000,-1,1,0,0,-1,1,0,0,1,1,3,3,-4
89,0,9340,9336,10000,-1,1,-2,2,-1,1,-1,1,-1,1,1,1,-4
90,0,9342,9335,10000,2,2,0,0,2,2,-1,1,-2,2,0,0,-7
91,0,9343,9336,10000,1,1,2,2,3,3,1,1,1,1,-1,1,-7
92,0,9340,9336,10000,-3,3,0,0,0,0,0,0,1,1,0,0,-4
93,0,9340,9336,10000,0,0,0,0,-1,1,0,0,1,1,1,1,-4
94,0,9341,9335,10000,1,1,1,1,0,0,-1,1,-2,2,0,0,-6
95,0,9341,9337,10000,0,0,-1,1,1,1,2,2,0,0,2,2,-4
96,0,9342,9336,10000,1,1,0,0,2,2,-1,1,-1,1,-1,1,-6
97,0,9340,9335,10000,-2,2,-1,1,0,0,-1,1,-2,2,-1,1,-5
98,0,9341,9334,10000,1,1,1,1,0,0,-1,1,-2,2,-1,1,-7
99,0,9341,9334,10000,0,0,-1,1,1,1,0,0,-1,1,-1,1,-7
100,0,9342,9335,10000,1,1,-1,1,2,2,1,1,-1,1,0,0,-7
101,0,9340,9337,10000,-2,2,0,0,1,1,2,2,1,1,2,2,-3
102,0,9341,9335,10000,1,1,1,1,0,0,-2,2,-1,1,0,0,-6
103,0,9341,9336,10000,0,0,0,0,0,0,1,1,1,1,2,2,-5
104,0,9339,9336,10000,-2,2,-2,2,0,0,0,0,-1,1,1,1,-3
105,0,9339,9336,10000,0,0,-3,3,1,1,0,0,0,0,2,2,-3
106,0,9340,9336,10000,1,1,0,0,2,2,0,0,1,1,2,2,-4
107,0,9340,9335,10000,0,0,-1,1,-1,1,-1,1,1,1,-1,1,-5
108,0,9339,9337,10000,-1,1,-2,2,0,0,2,2,3,3,1,1,-2
109,0,9339,9335,10000,0,0,-3,3,-1,1,-2,2,0,0,-1,1,-4
110,0,9339,9336,10000,0,0,-1,1,-3,3,1,1,-1,1,1,1,-3
111,0,9339,9336,10000,0,0,-2,2,-1,1,0,0,1,1,-2,2,-3
112,0,9340,9335,10000,1,1,-1,1,0,0,-1,1,-1,1,-3,3,-5
113,0,9342,9337,10000,2,2,3,3,1,1,2,2,1,1,0,0,-5
114,0,9340,9334,10000,-2,2,1,1,-1,1,-3,3,-2,2,-2,2,-6
115,0,9342,9336,10000,2,2,2,2,0,0,2,2,0,0,1,1,-6
116,0,9342,9335,10000,0,0,2,2,2,2,-1,1,0,0,-2,2,-7
117,0,9342,9335,10000,0,0,3,3,2,2,0,0,-2,2,-1,1,-7
118,0,9341,9335,10000,-1,1,2,2,1,1,0,0,0,0,-1,1,-6
119,0,9341,9336,10000,0,0,2,2,1,1,1,1,0,0,0,0,-5
120,0,9340,9336,10000,-1,1,1,1,0,0,0,0,0,0,1,1,-4
121,0,9341,9336,10000,1,1,1,1,1,1,0,0,1,1,-1,1,-5
122,0,9339,9336,10000,-2,2,-3,3,-1,1,0,0,-1,1,1,1,-3
123,0,9339,9336,10000,0,0,-1,1,-2,2,0,0,2,2,0,0,-3
124,0,9340,9335,10000,1,1,-2,2,-1,1,-1,1,-1,1,-1,1,-5
125,0,9342,9336,10000,2,2,0,0,2,2,1,1,1,1,0,0,-6
126,0,9340,9337,10000,-2,2,-2,2,1,1,1,1,2,2,0,0,-3
127,0,9341,9333,10000,1,1,0,0,1,1,-4,4,-2,2,-5,5,-8
128,0,9341,9335,10000,0,0,0,0,0,0,2,2,-1,1,-1,1,-6
129,0,9341,9335,10000,0,0,1,1,-1,1,0,0,-1,1,-2,2,-6
130,0,9341,9337,10000,0,0,0,0,-1,1,2,2,1,1,0,0,-4
131,0,9342,9333,10000,1,1,3,3,1,1,-4,4,-3,3,-2,2,-9
132,0,9340,9336,10000,-2,2,1,1,0,0,3,3,0,0,1,1,-4
