clog,sp1,sp2,sv,dp1,dp1a,dp1_10,dp1_10a,dp1_50,dp1_50a,dp2,dp2a,dp2_10,dp2_10a,dp2_50,dp2_50a,dp1p2
0,6443.0,9167.0,0.0,-1.0,1.0,-6.0,6.0,-42.0,42.0,1.0,1.0,-1.0,1.0,-15.0,15.0,2724.0
0,6443.0,9167.0,0.0,0.0,0.0,-6.0,6.0,-41.0,41.0,0.0,0.0,-2.0,2.0,-13.0,13.0,2724.0
0,6442.0,9166.0,0.0,-1.0,1.0,-5.0,5.0,-40.0,40.0,-1.0,1.0,-4.0,4.0,-15.0,15.0,2724.0
0,6442.0,9166.0,0.0,0.0,0.0,-6.0,6.0,-39.0,39.0,0.0,0.0,-2.0,2.0,-14.0,14.0,2724.0
0,6441.0,9165.0,0.0,-1.0,1.0,-7.0,7.0,-40.0,40.0,-1.0,1.0,-3.0,3.0,-15.0,15.0,2724.0
0,6441.0,9165.0,0.0,0.0,0.0,-3.0,3.0,-39.0,39.0,0.0,0.0,-2.0,2.0,-16.0,16.0,2724.0
0,6441.0,9166.0,0.0,0.0,0.0,-3.0,3.0,-37.0,37.0,1.0,1.0,-1.0,1.0,-14.0,14.0,2725.0
0,6439.0,9164.0,0.0,-2.0,2.0,-8.0,8.0,-37.0,37.0,-2.0,2.0,-3.0,3.0,-15.0,15.0,2725.0
0,6440.0,9165.0,0.0,1.0,1.0,-4.0,4.0,-36.0,36.0,1.0,1.0,-1.0,1.0,-15.0,15.0,2725.0
0,6440.0,9165.0,0.0,0.0,0.0,-3.0,3.0,-35.0,35.0,0.0,0.0,-2.0,2.0,-13.0,13.0,2725.0
0,6438.0,9165.0,0.0,-2.0,2.0,-5.0,5.0,-37.0,37.0,0.0,0.0,-2.0,2.0,-13.0,13.0,2727.0
0,6437.0,9164.0,0.0,-1.0,1.0,-5.0,5.0,-36.0,36.0,-1.0,1.0,-2.0,2.0,-15.0,15.0,2727.0
0,6437.0,9164.0,0.0,0.0,0.0,-5.0,5.0,-33.0,33.0,0.0,0.0,-2.0,2.0,-12.0,12.0,2727.0
0,6434.0,9164.0,0.0,-3.0,3.0,-7.0,7.0,-35.0,35.0,0.0,0.0,-1.0,1.0,-13.0,13.0,2730.0
0,6435.0,9164.0,0.0,1.0,1.0,-6.0,6.0,-34.0,34.0,0.0,0.0,-1.0,1.0,-12.0,12.0,2729.0
0,6435.0,9164.0,0.0,0.0,0.0,-6.0,6.0,-31.0,31.0,0.0,0.0,-2.0,2.0,-13.0,13.0,2729.0
0,6436.0,9163.0,0.0,1.0,1.0,-3.0,3.0,-30.0,30.0,-1.0,1.0,-1.0,1.0,-14.0,14.0,2727.0
0,6433.0,9163.0,0.0,-3.0,3.0,-7.0,7.0,-34.0,34.0,0.0,0.0,-2.0,2.0,-13.0,13.0,2730.0
0,6434.0,9163.0,0.0,1.0,1.0,-6.0,6.0,-31.0,31.0,0.0,0.0,-2.0,2.0,-13.0,13.0,2729.0
0,6435.0,9162.0,0.0,1.0,1.0,-3.0,3.0,-30.0,30.0,-1.0,1.0,-3.0,3.0,-13.0,13.0,2727.0
0,6433.0,9162.0,0.0,-2.0,2.0,-4.0,4.0,-30.0,30.0,0.0,0.0,-2.0,2.0,-13.0,13.0,2729.0
0,6433.0,9162.0,0.0,0.0,0.0,-4.0,4.0,-31.0,31.0,0.0,0.0,-2.0,2.0,-13.0,13.0,2729.0
0,6432.0,9162.0,0.0,-1.0,1.0,-2.0,2.0,-32.0,32.0,0.0,0.0,-2.0,2.0,-13.0,13.0,2730.0
0,6433.0,9161.0,0.0,1.0,1.0,-2.0,2.0,-30.0,30.0,-1.0,1.0,-3.0,3.0,-14.0,14.0,2728.0
0,6432.0,9162.0,0.0,-1.0,1.0,-3.0,3.0,-29.0,29.0,1.0,1.0,-2.0,2.0,-12.0,12.0,2730.0
0,6430.0,9161.0,0.0,-2.0,2.0,-6.0,6.0,-30.0,30.0,-1.0,1.0,-2.0,2.0,-11.0,11.0,2731.0
0,6432.0,9162.0,0.0,2.0,2.0,-1.0,1.0,-27.0,27.0,1.0,1.0,-1.0,1.0,-12.0,12.0,2730.0
0,6432.0,9162.0,0.0,0.0,0.0,-2.0,2.0,-25.0,25.0,0.0,0.0,-1.0,1.0,-10.0,10.0,2730.0
0,6432.0,9161.0,0.0,0.0,0.0,-3.0,3.0,-25.0,25.0,-1.0,1.0,-1.0,1.0,-11.0,11.0,2729.0
0,6430.0,9160.0,0.0,-2.0,2.0,-3.0,3.0,-27.0,27.0,-1.0,1.0,-2.0,2.0,-13.0,13.0,2730.0
0,6429.0,9161.0,0.0,-1.0,1.0,-4.0,4.0,-28.0,28.0,1.0,1.0,-1.0,1.0,-9.0,9.0,2732.0
0,6429.0,9159.0,0.0,0.0,0.0,-3.0,3.0,-26.0,26.0,-2.0,2.0,-3.0,3.0,-13.0,13.0,2730.0
0,6429.0,9161.0,0.0,0.0,0.0,-4.0,4.0,-26.0,26.0,2.0,2.0,0.0,0.0,-10.0,10.0,2732.0
0,6429.0,9161.0,0.0,0.0,0.0,-3.0,3.0,-24.0,24.0,0.0,0.0,-1.0,1.0,-10.0,10.0,2732.0
0,6429.0,9157.0,0.0,0.0,0.0,-1.0,1.0,-24.0,24.0,-4.0,4.0,-4.0,4.0,-14.0,14.0,2728.0
0,6428.0,9159.0,0.0,-1.0,1.0,-4.0,4.0,-25.0,25.0,2.0,2.0,-3.0,3.0,-12.0,12.0,2731.0
0,6428.0,9157.0,0.0,0.0,0.0,-4.0,4.0,-24.0,24.0,-2.0,2.0,-5.0,5.0,-14.0,14.0,2729.0
0,6427.0,9159.0,0.0,-1.0,1.0,-5.0,5.0,-24.0,24.0,2.0,2.0,-2.0,2.0,-11.0,11.0,2732.0
0,6427.0,9157.0,0.0,0.0,0.0,-3.0,3.0,-23.0,23.0,-2.0,2.0,-3.0,3.0,-14.0,14.0,2730.0
0,6427.0,9157.0,0.0,0.0,0.0,-2.0,2.0,-22.0,22.0,0.0,0.0,-4.0,4.0,-11.0,11.0,2730.0
0,6427.0,9159.0,0.0,0.0,0.0,-2.0,2.0,-22.0,22.0,2.0,2.0,0.0,0.0,-9.0,9.0,2732.0
0,6425.0,9157.0,0.0,-2.0,2.0,-4.0,4.0,-24.0,24.0,-2.0,2.0,-4.0,4.0,-12.0,12.0,2732.0
